# Judicial Council of California — Regional Building List
# Source: https://courts.ca.gov/system/files/solicitation-request-document/rfp-fs-sp-2019-03-jp-attachment-2-regional-building-list-addendum-1.pdf
# Generated from Judicial Council Attachment 2 (RFP-FS-SP-2019-03-JP)
# Los Angeles County locations excluded (lacourt.ca.gov provides dept/room data).
# Format: | JCC ID | Facility Name | Address | City | Zip | County | Region |

| 01-G1 | Berkeley Courthouse | 2120 Martin Luther King, Jr. Way | Berkeley | 94704 | Alameda | BANCRO |
| 01-H1 | Fremont Hall of Justice | 39439 Paseo Padre Pkwy. | Fremont | 94538 | Alameda | BANCRO |
| 01-F1 | George E. McDonald Hall of Justice | 2233 Shoreline Drive | Alameda | 94501 | Alameda | BANCRO |
| 01-D1 | Hayward Hall of Justice | 24405 Amador St. | Hayward | 94544 | Alameda | BANCRO |
| 01-J1 | New East County Hall of Justice | 5151 Gleason Drive | Dublin | 94568 | Alameda | BANCRO |
| 01-B3 | Wiley W. Manuel Courthouse | 661 Washington St. | Oakland | 94607 | Alameda | BANCRO |
| 03-C1 | Amador Superior Court | 500 Argonaut Lane | Jackson | 95642 | Amador | NCRO |
| 04-A1 | Butte County Courthouse | 1 Court St. | Oroville | 95965 | Butte | NCRO |
| 04-F1 | North Butte County Courthouse | 1775 Concord Avenue | Chico | 95928 | Butte | NCRO |
| 05-C1 | Calaveras Superior Court | 400 Government Center Drive | San Andreas | 95249 | Calaveras | NCRO |
| 07-A3 | Bray Courts | 1020 Ward St. | Martinez | 94553 | Contra Costa | BANCRO |
| 07-D1 | Concord Courthouse | 2970 Willow Pass Rd. | Concord | 94519 | Contra Costa | BANCRO |
| 07-A14 | Family Law Center | 751 Pine Street | Martinez | 94553 | Contra Costa | BANCRO |
| 07-F1 | George D. Carroll Courthouse | 100 37th St. | Richmond | 94805 | Contra Costa | BANCRO |
| 07-E3 | Richard E. Arnason Justice Center | 1000 Center Drive | Pittsburg | 94565 | Contra Costa | BANCRO |
| 07-A2 | Wakefield Taylor Courthouse | 725 Court St. | Martinez | 94553 | Contra Costa | BANCRO |
| 07-C1 | Walnut Creek Courthouse | 640 Ygnacio Valley Rd. | Walnut Creek | 94596 | Contra Costa | BANCRO |
| 08-A1 | Del Norte County Superior Court | 450 'H' St. | Crescent City | 95531 | Del Norte | BANCRO |
| 09-C1 | Cameron Park | 3321 Cameron Park Dr. | Cameron Park | 95682 | El Dorado | NCRO |
| 09-E1 | Johnson Bldg. | 1354 Johnson Blvd. | South Lake Tahoe | 96150 | El Dorado | NCRO |
| 09-A1 | Main St. Courthouse | 495 Main St. | Placerville | 95667 | El Dorado | NCRO |
| 10-O1 | B.F. Sisk Courthouse | 1130 O Street | Fresno | 93721 | Fresno | NCRO |
| 10-G1 | Clovis Court | 1011 5th St. | Clovis | 93612 | Fresno | NCRO |
| 10-A1 | Fresno County Courthouse | 1100 Van Ness Ave. | Fresno | 93724 | Fresno | NCRO |
| 10-P1 | Juvenile Delinquency Courthouse | 3333 E. American Avenue | Frenso | 93725 | Fresno | NCRO |
| 10-F1 | Reedley Court | 815 G Street | Reedley | 93654 | Fresno | NCRO |
| 11-A1 | Historic Courthouse | 526 West Sycamore St. | Willows | 95988 | Glenn | NCRO |
| 13-E2 | Brawley Court | 220 E. Main St. | Brawley | 92227 | Imperial | SRO |
| 15-H1 | Arvin/ Lamont Branch | 12022 Main St. | Lamont | 93241 | Kern | SRO |
| 15-B1 | Bakersfield Justice Bldg. | 1215 Truxtun Ave. | Bakersfield | 93301 | Kern | SRO |
| 15-C1 | Bakersfield Juvenile Center | 2100 College Ave. | Bakersfield | 93305 | Kern | SRO |
| 15-N1 | Bakersfield Shop Lease | 2511 & 2515 M Street | Bakersfield | 93301 | Kern | SRO |
| 15-A1 | Bakersfield Superior Court | 1315 Truxtun Ave, 1661 L Street | Bakersfield | 93301 | Kern | SRO |
| 15-A2 | Bakersfield Superior Court Modular | 1415 Truxtun Avenue | Bakersfield | 93301 | Kern | SRO |
| 15-D1 | Delano/North Kern Court | 1122 Jefferson St. | Delano | 93215 | Kern | SRO |
| 15-G1 | East Kern Court-Lake Isabella Branch | 7046 Lake Isabella Blvd. | Lake Isabella | 93240 | Kern | SRO |
| 15-I3 | Mojave Superior Court Modular | 1773 Highway 58 | Mojave | 93501 | Kern | SRO |
| 15-I1 | Mojave-Main Court Facility | 1773 Hwy. 58 | Mojave | 93501 | Kern | SRO |
| 15-J2 | Ridgecrest - Division B Courtroom | 420 N China Lake Blvd. | Ridgecrest | 93555 | Kern | SRO |
